DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,IA,13,43070.538462,14996.538462,13724.846154
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,UT,13,99527.153846,26157.384615,23959.923077
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,LA,14,39900.214286,14252.928571,12539.928571
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,NV,14,91466,19305.642857,15282.571429
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,OR,15,68009.866667,26539.2,24308.4
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,KS,16,65878.125,14116.6875,13339.75
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,WV,17,98489.117647,43563.470588,17421.764706
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,AR,19,35607.631579,14178.052632,12562.578947
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,CT,22,80682.727273,24829.181818,15014.954545
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,AL,23,73631.26087,15923.130435,14348.869565
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,AZ,24,51158.083333,17595.25,14419.375
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,OK,27,92108.666667,16031.185185,14287.703704
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,SC,27,70306.592593,20440.074074,16507.518519
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,WI,27,57874.222222,19331.518519,16663.185185
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,CO,28,77496.571429,18709.464286,16598
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,KY,30,78443.1,22505.133333,19553.1
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,TN,35,117578.62857,19271.571429,18139.714286
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,WA,35,48817.914286,17173.857143,15796.4
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,GA,39,76171.076923,20942.128205,17463.487179
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,MO,42,63658.166667,16522.904762,14690.595238
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,MN,45,62483.044444,21610.133333,19159.6
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,MA,46,88314.23913,28439.673913,24259.847826
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,IN,48,50692.291667,15631.770833,14414.270833
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,MI,49,43030.734694,19357.387755,15833.285714
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,OH,49,40620.836735,16424.734694,11738.979592
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,MD,53,38341.962264,35684.245283,30589.943396
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,NC,55,44464.109091,15955.109091,13031.6
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,VA,57,69829.22807,20450.263158,15991.280702
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,PA,76,82402.355263,18180.842105,14536.763158
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,IL,78,55337.487179,18188.576923,15194.923077
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,NJ,79,89736.797468,18448.050633,15286.455696
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,NY,105,71709.028571,23623.942857,20260.057143
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,TX,117,78679.57265,17196.264957,13508.709402
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,FL,136,72842.088235,16389.029412,13271.198529
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,CA,137,111817.76642,22779.255474,20640.978102
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,MI,11,21867.636364,8667.7272727,7462.7272727
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,MO,11,33032.363636,7148.0909091,6193.5454545
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,MA,12,26181.583333,9158.6666667,8002.8333333
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,MD,12,27347.166667,25587.166667,20379.916667
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,IL,13,35968.461538,9473.2307692,8021.0769231
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,NC,14,47185.5,10889.642857,7993.2857143
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,OH,17,20489.705882,7917.0588235,6779.2352941
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,NJ,23,58667.173913,9721.4782609,8464.2173913
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,PA,26,61204.384615,13552.807692,7433.8461538
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,NY,27,47121.592593,12120.333333,9510.962963
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,TX,31,38374.064516,8159.5483871,7118.7419355
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,CA,34,74859.852941,16624.823529,10582.205882
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,FL,36,44387.805556,7660.4444444,6687.2222222
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,ND,12,79264.583333,39003,37145.166667
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,CT,13,182725.07692,65626.769231,50811
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,KY,16,229732.1875,54566.8125,49060.8125
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,NE,16,195193.6875,54661.3125,46248.1875
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,VA,17,164139.11765,53617.529412,43563.411765
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,CO,20,156026.45,49625.7,39105.1
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,GA,20,121767.5,47740.7,37287.75
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,MD,20,63589.15,58789.3,53129.95
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,OK,20,208074,44727.35,37267.1
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,IA,21,127439.38095,45914.47619,44113.857143
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,UT,21,131035.42857,50737.857143,49034.761905
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,LA,25,123441.48,51469.48,36199.96
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,WI,25,149698.4,49666.24,43586.24
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,AR,26,136635.88462,42929.846154,37103.576923
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,AL,27,249548.74074,58697.37037,40427.555556
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,SC,29,173855.72414,54602.517241,47104.862069
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,OH,31,158184.3871,49716.193548,44178.709677
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,IN,35,208798.97143,47298.714286,44154.314286
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,KS,36,212695.16667,43151.138889,42046.916667
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,MA,37,236944.78378,72865.486486,66100.378378
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,TN,41,183724.87805,50194.560976,44029.04878
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,NJ,42,186788.33333,52086.47619,48896
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,OR,43,197756.67442,78467.488372,73839.813953
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,AZ,47,157480.08511,46869.148936,42546.319149
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,FL,61,251204.36066,47319.688525,40911.131148
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,MI,62,110094.14516,50345.758065,45416.919355
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,MO,69,168914.36232,56065.26087,51003.913043
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,PA,75,248655.33333,63605.466667,47399.826667
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,MN,82,172003.54878,64308.792683,50539.353659
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,WA,86,104057.22093,56800.872093,51898.034884
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,IL,89,135829.64045,54407.179775,49763.359551
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,NY,96,200890.73958,67001.625,57767.104167
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,NC,109,96293.201835,53374.100917,43071.284404
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,TX,118,245689.81356,52681.330508,42857.228814
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,CA,155,302779.69677,74940.787097,66102.329032
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,CT,12,34220.916667,26445.166667,18647.916667
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,AR,14,82263.357143,20256.285714,18156.214286
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,AZ,14,70602.642857,22075.142857,18749.642857
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,DC,15,40751.666667,22443.133333,20651.466667
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,MO,15,110504.13333,28013.6,24410.8
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,UT,15,76162.2,26417.8,19527.266667
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,LA,16,189064.875,52278.25,20241.4375
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,VA,16,69521,25299.25,19263.1875
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,AL,17,50612.705882,17806.470588,16038.647059
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,IN,17,143339.23529,31531.764706,28754.235294
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,MS,17,81626,22648.352941,19859
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,NE,17,78127.176471,21405.117647,20374.823529
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,SC,17,51087.058824,22295.529412,16525.470588
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,TN,17,50001.470588,20855.705882,18354.294118
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,GA,18,47199.333333,19531.222222,16274.777778
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,KS,19,157206.94737,24250.631579,18953.947368
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,OK,19,100999.15789,18713.421053,16839.263158
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,OR,20,46207.5,25775.75,23551.45
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,KY,22,35921.5,18673.136364,15715.181818
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,NJ,22,118648.86364,25133.5,19952.909091
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,MD,29,37248.034483,34514.034483,30132.862069
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,MA,30,77902.766667,32749.4,30089.966667
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,OH,30,127763.63333,31356.2,26486.966667
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,WI,30,94978.666667,28411.866667,24118.733333
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,MI,33,73231,26885.30303,24178.818182
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,MN,36,71370.083333,26290.638889,19579.527778
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,NC,36,40573.166667,21168.5,18790.388889
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,WA,42,60729.166667,24611.452381,19941.904762
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,FL,44,115031.75,25330.25,20486.931818
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,IL,50,63624.94,25352.9,20810.18
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,NY,56,90418.678571,30413.625,26254.875
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,TX,61,90172.147541,23862.42623,17662.065574
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,PA,80,109591.4375,27460.1625,20197.675
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,CA,85,95663.905882,32093,26077.552941
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,AR,11,53853.909091,11139.272727,9907
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,IA,11,31779.181818,9667.3636364,7988.3636364
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,KY,12,34682.583333,12959.25,8446.5
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,OK,12,62826.75,12207.416667,8450.1666667
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,OR,12,24596.666667,12045.916667,9576.8333333
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,VA,12,53969.166667,13387.25,9377.9166667
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,IN,13,39258.076923,10599.076923,9675
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,MS,13,53030.846154,8675.4615385,8060.3076923
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,TN,13,42984.384615,10920.615385,9497.9230769
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,NM,16,16116.1875,14093.75,12748.4375
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,WI,16,27027.375,14160.5625,7814.375
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,MA,17,43309.176471,14422.235294,13004.647059
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,GA,18,47786.444444,14830.833333,8910.8888889
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,MD,20,15707.55,14472.55,14340.95
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,WA,22,39535.590909,14566,10821.636364
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,MO,23,32753.608696,10169.478261,8877.0434783
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,OH,23,31079.695652,11364.565217,9438.4782609
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,MN,24,29836.083333,14363.333333,7964.6666667
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,SC,25,27244.4,11871.64,8257.8
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,IL,33,35179.69697,13056.727273,9340.1515152
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,NJ,35,44519.314286,12610.028571,10888.171429
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,MI,38,23697.421053,10526.605263,9785.4473684
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,TX,44,53611.727273,9967.2272727,8560.1136364
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,NC,46,28846.913043,12531.347826,9511.3695652
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,CA,50,65802.16,17332.7,13587.44
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,FL,52,49326.461538,10438.423077,8892.8653846
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,NY,52,63353.211538,16509.903846,13728.096154
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,PA,56,59531.107143,14733.928571,10613.375
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,SD,20,84041.6,24528.05,19429
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,ND,23,61596.217391,21804.130435,20574.956522
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,VT,24,57147.791667,30993.625,26336.083333
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,HI,27,128132.62963,40751.481481,32496.518519
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,DC,30,187182.46667,45998.566667,33653.4
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,ID,32,71138.21875,22936.34375,22127.375
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,MT,33,56414.090909,21619.787879,19149.424242
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,DE,35,76607.114286,26216.628571,24200.571429
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,ME,36,49720.944444,21025.166667,19777.555556
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,RI,37,67100.459459,24453.783784,22387.945946
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,NM,41,66444.634146,22763.097561,20951.268293
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,NH,42,56821.761905,24280.52381,23152.595238
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,UT,43,80198.906977,30522.883721,21372.418605
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,WV,48,64143.270833,22653.208333,19302.395833
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,NE,51,82289.568627,23939.392157,21874.156863
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,KS,70,140849.98571,27988.742857,23912.071429
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,NV,72,173224.41667,26601,22858.930556
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,OR,83,89362.048193,33596.578313,29346.096386
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,IA,90,69690.888889,22615.622222,20321.022222
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,MS,101,106752.75248,24005.80198,21670.376238
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,KY,121,60230.966942,20184.214876,18288.479339
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,LA,129,98092.852713,24933.310078,21771.674419
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,CT,131,89449.045802,31591.480916,25677.351145
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,CO,132,123949.30303,28884.878788,21127.242424
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,AR,139,88378.726619,25042.172662,21840.769784
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,AL,145,95301.496552,19874.77931,17414.737931
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,WI,145,78860.6,24992.848276,22160.558621
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,OK,146,82528.191781,19259.315068,17776.924658
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,AZ,147,108647.98639,25327.931973,22531.44898
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,SC,168,94059.738095,23480.291667,19595.839286
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,MD,189,36402.380952,33773.952381,29798.544974
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,WA,191,95103.780105,27064.958115,23840.921466
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,IN,195,86483.220513,23753,20099.492308
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,TN,218,106232.94037,22770.169725,20088.018349
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,GA,223,103529.35874,28762.636771,22404.699552
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,MO,242,92489.11157,23804.756198,22108.396694
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,MN,266,80011.25188,31490.969925,25636.654135
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,VA,273,87772.736264,25245.556777,21076.688645
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,MA,307,82492.641694,31482.905537,28344.035831
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,NC,321,79656.551402,25533.623053,21183.934579
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,MI,331,62625.193353,24247.836858,21639.21148
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,OH,348,90708.468391,23650.304598,20574.522989
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,NJ,378,139255.48677,25846.640212,23141.092593
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,PA,412,131637.97573,26822.718447,20594.949029
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,IL,477,96591.865828,26133.454927,22028.27044
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,TX,538,116887.4684,23554.118959,19446.496283
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,NY,657,141980.76408,35361.359209,31122.245053
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,FL,722,117205.04986,21638.772853,19646.48892
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,CA,840,181151.82024,34762.255952,30792.775
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,SD,16,53186.625,12691,11528.25
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,HI,17,54592.235294,23162.705882,14496.647059
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,VT,19,47224.315789,19977.105263,12179.473684
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,ND,22,28478.227273,11633.727273,10475.681818
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,ME,23,25923.695652,11293.73913,10241.73913
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,RI,24,43965.666667,15528.125,14139.041667
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,ID,25,39987.52,13546.84,10228.96
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,DE,27,36460.592593,13022.814815,10747.259259
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,MT,29,28696.310345,11983.586207,10979.275862
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,UT,34,47972.029412,12341.558824,10648
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,NH,35,41121.085714,13589.057143,12297.628571
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,NM,40,42622.7,13781.15,12111.725
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,NV,49,90121.489796,12591.734694,11305.44898
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,DC,50,57020.3,15286.96,12483.2
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,NE,54,41250.333333,11306.851852,10071.944444
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,WV,55,33469.945455,12108.672727,9678.9454545
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,OR,58,47274,15309.448276,13380.603448
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,KS,61,50543.721311,10436.081967,9557.6885246
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,IA,63,43939.587302,12529.666667,10366
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,MS,68,45896,10541.485294,9128.9264706
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,CO,91,76487.362637,13014.516484,10071.604396
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,LA,96,47810.59375,12366.114583,9847.8541667
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,AR,98,39909.612245,10859.387755,9342.7653061
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,OK,110,58200.118182,11644.736364,9871.8090909
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,WA,113,58933.982301,16385.79646,11895.867257
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,AL,118,50441.576271,10368.228814,8739.4237288
